"data_coleta";"uf";"taxa_ocup";"alerta"
"2020-07-17";"Rondônia";"74,2";"Médio"
"2020-07-27";"Rondônia";"79,2";"Médio"
"2020-08-10";"Rondônia";"62,6";"Médio"
"2020-08-24";"Rondônia";"71,0";"Médio"
"2020-09-07";"Rondônia";"66,8";"Médio"
"2020-09-21";"Rondônia";"55,6";"Baixo"
"2020-10-05";"Rondônia";"42,0";"Baixo"
"2020-10-26";"Rondônia";"29,7";"Baixo"
"2020-11-09";"Rondônia";"27,8";"Baixo"
"2020-11-23";"Rondônia";"46,4";"Baixo"
"2020-12-07";"Rondônia";"61,9";"Médio"
"2020-12-21";"Rondônia";"59,4";"Baixo"
"2021-01-04";"Rondônia";"72,3";"Médio"
"2021-01-18";"Rondônia";"91,6";"Crítico"
"2021-02-01";"Rondônia";"94,2";"Crítico"
"2021-02-22";"Rondônia";"97,1";"Crítico"
"2021-03-01";"Rondônia";"97,0";"Crítico"
"2021-03-08";"Rondônia";"97,6";"Crítico"
"2021-03-15";"Rondônia";"98,0";"Crítico"
"2021-03-22";"Rondônia";"100,0";"Crítico"
"2021-03-29";"Rondônia";"98,0";"Crítico"
"2021-04-05";"Rondônia";"96,0";"Crítico"
"2021-04-12";"Rondônia";"96,0";"Crítico"
"2021-04-19";"Rondônia";"94,0";"Crítico"
"2021-04-26";"Rondônia";"85,0";"Crítico"
"2021-05-03";"Rondônia";"89,0";"Crítico"
"2021-05-10";"Rondônia";"88,0";"Crítico"
"2021-05-17";"Rondônia";"83,0";"Crítico"
"2021-05-24";"Rondônia";"79,0";"Médio"
"2021-05-31";"Rondônia";"72,0";"Médio"
"2021-06-07";"Rondônia";"62,0";"Médio"
"2021-06-14";"Rondônia";"57,0";"Baixo"
"2021-06-21";"Rondônia";"56,0";"Baixo"
"2021-06-28";"Rondônia";"58,0";"Baixo"
"2021-07-05";"Rondônia";"59,0";"Baixo"
"2021-07-12";"Rondônia";"60,0";"Médio"
"2021-07-19";"Rondônia";"62,0";"Médio"
"2021-07-26";"Rondônia";"52,0";"Baixo"
"2021-08-02";"Rondônia";"51,0";"Baixo"
"2021-08-09";"Rondônia";"64,0";"Médio"
"2021-08-16";"Rondônia";"50,0";"Baixo"
"2021-08-23";"Rondônia";"38,0";"Baixo"
"2021-08-30";"Rondônia";"43,0";"Baixo"
"2021-09-06";"Rondônia";"47,0";"Baixo"
"2021-09-13";"Rondônia";"38,0";"Baixo"
"2021-09-20";"Rondônia";"36,0";"Baixo"
"2021-09-27";"Rondônia";"34,0";"Baixo"
"2021-10-04";"Rondônia";"34,0";"Baixo"
"2021-10-11";"Rondônia";"36,0";"Baixo"
"2021-10-18";"Rondônia";"44,0";"Baixo"
"2021-10-25";"Rondônia";"36,0";"Baixo"
"2021-11-01";"Rondônia";"48,0";"Baixo"
"2021-11-08";"Rondônia";"55,0";"Baixo"
"2021-11-15";"Rondônia";"63,0";"Médio"
"2021-11-22";"Rondônia";"71,0";"Médio"
"2021-11-29";"Rondônia";"73,0";"Médio"
"2021-12-06";"Rondônia";"73,0";"Médio"
"2021-12-20";"Rondônia";"50,0";"Baixo"
"2022-01-05";"Rondônia";"50,0";"Baixo"
"2022-01-10";"Rondônia";"53,0";"Baixo"
"2022-01-17";"Rondônia";"54,0";"Baixo"
"2022-01-24";"Rondônia";"65,0";"Médio"
"2022-01-31";"Rondônia";"58,0";"Baixo"
"2022-02-07";"Rondônia";"69,0";"Médio"
"2022-02-14";"Rondônia";"74,0";"Médio"
"2022-02-22";"Rondônia";"59,0";"Baixo"
"2022-02-22";"Rondônia";"59,0";"Baixo"
"2022-03-07";"Rondônia";"45,0";"Baixo"
"2022-03-21";"Rondônia";"32,0";"Baixo"
"2022-04-04";"Rondônia";"23,0";"Baixo"
"2022-04-25";"Rondônia";;
"2020-07-17";"Acre";"28,0";"Baixo"
"2020-07-27";"Acre";"56,7";"Baixo"
"2020-08-10";"Acre";"74,5";"Médio"
"2020-08-24";"Acre";"56,7";"Baixo"
"2020-09-07";"Acre";"46,7";"Baixo"
"2020-09-21";"Acre";"27,8";"Baixo"
"2020-10-05";"Acre";"31,1";"Baixo"
"2020-10-26";"Acre";"30,0";"Baixo"
"2020-11-09";"Acre";"27,8";"Baixo"
"2020-11-23";"Acre";"28,9";"Baixo"
"2020-12-07";"Acre";"62,5";"Médio"
"2020-12-21";"Acre";"63,1";"Médio"
"2021-01-04";"Acre";"64,6";"Médio"
"2021-01-18";"Acre";"76,9";"Médio"
"2021-02-01";"Acre";"80,0";"Crítico"
